date_scrap,date_debut,date_fin,price,identifiant,typologie,nom
04/11/2024,09/11/2024,16/11/2024,983.61,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,16/11/2024,23/11/2024,983.61,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,23/11/2024,30/11/2024,983.61,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,07/12/2024,14/12/2024,983.61,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,14/12/2024,21/12/2024,1344.25,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,11/01/2025,18/01/2025,983.61,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,25/01/2025,01/02/2025,1781.13,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,19/04/2025,26/04/2025,1781.13,HGTPZAE,53 m² Appartement ∙ 2 chambres ∙ 4 personnes,Saas Fee - Valais
04/11/2024,09/11/2024,16/11/2024,1009.63,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,16/11/2024,23/11/2024,1009.63,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,23/11/2024,30/11/2024,1009.63,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,30/11/2024,07/12/2024,1009.63,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,07/12/2024,14/12/2024,1009.63,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,14/12/2024,21/12/2024,1405.63,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,01/02/2025,08/02/2025,2948.29,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,08/02/2025,15/02/2025,2948.29,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,15/02/2025,22/02/2025,2948.29,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,22/02/2025,01/03/2025,1866.54,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,01/03/2025,08/03/2025,1686.25,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,08/03/2025,15/03/2025,1686.25,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,15/03/2025,22/03/2025,1686.25,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,22/03/2025,29/03/2025,1776.40,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,29/03/2025,05/04/2025,1946.08,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,05/04/2025,12/04/2025,1797.61,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
04/11/2024,12/04/2025,19/04/2025,1797.61,H6JNGWA,125 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Savièse - Valais
